accel,filter_accel,velocity,distance,pressure,temp,altitude,high
0.008834,0.005530,0.000000,0.000000,99376.740000,25.700000,169.135081,0.033659
-0.000640,0.005513,0.000000,0.000000,99376.740000,25.700000,169.135081,0.033659
0.011059,0.005491,0.000000,0.000000,99376.740000,25.700000,169.135081,0.033659
0.037712,0.005559,0.000000,0.000000,99376.740000,25.700000,169.135081,0.033659
-0.005698,0.005756,0.000000,0.000000,99376.740000,25.700000,169.135081,0.033659
0.039901,0.006029,0.000000,0.000000,99376.740000,25.700000,169.135081,0.033659
0.008832,0.006404,0.000000,0.000000,99376.740000,25.700000,169.135081,0.033659
0.006568,0.006820,0.000000,0.000000,99376.830000,25.700000,169.127206,0.025784
-0.002976,0.007162,0.000000,0.000000,99376.830000,25.700000,169.127206,0.025784
-0.003034,0.007385,0.000000,0.000000,99376.830000,25.700000,169.127206,0.025784
