Keuwl Accelerometer Data File
2025-03-31 16:46:37

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.5175994,-0.062812,9.870992,-0.153739,9.872389,90.892281,90.364586
0.5200526,-0.072383,9.830314,-0.146560,9.831673,90.854141,90.421875
0.5225050,-0.062812,9.835099,-0.184846,9.837036,91.076698,90.365913
0.5249578,-0.022134,9.842278,-0.203988,9.844416,91.187325,90.128845
0.5274106,-0.041276,9.859028,-0.177667,9.860715,91.032394,90.239876
0.5298632,-0.010169,9.837492,-0.172881,9.839016,91.006798,90.059227
0.5323156,-0.053240,9.820743,-0.177667,9.822494,91.036407,90.310608
0.5347688,-0.060419,9.825528,-0.139382,9.826702,90.812714,90.352318
0.5372218,-0.074776,9.839885,-0.141775,9.841190,90.825447,90.435394
0.5396751,-0.067597,9.823135,-0.136989,9.824324,90.798950,90.394272
0.5421274,-0.055633,9.811171,-0.141775,9.812353,90.827873,90.324883
0.5445796,-0.046062,9.837492,-0.144168,9.838655,90.839592,90.268272
0.5470325,-0.060419,9.784850,-0.115454,9.785718,90.676003,90.353783
0.5494854,-0.065204,9.835099,-0.098704,9.835811,90.574982,90.379852
0.5519386,-0.069990,9.811171,-0.084347,9.811783,90.492546,90.408722
0.5543914,-0.048455,9.823135,-0.072383,9.823522,90.422180,90.282623
0.5568442,-0.060419,9.811171,-0.081954,9.811699,90.478577,90.352829
0.5592976,-0.036491,9.830314,-0.113061,9.831032,90.658936,90.212685
0.5617511,-0.069990,9.856635,-0.108275,9.857478,90.629356,90.406837
0.5642046,-0.026919,9.799207,-0.120239,9.799981,90.703003,90.157394
0.5666571,-0.058026,9.820743,-0.096311,9.821386,90.561867,90.338531
0.5691102,-0.050847,9.842278,-0.122632,9.843173,90.713844,90.295998
0.5715627,-0.058026,9.815957,-0.089133,9.816533,90.520241,90.338692
0.5740159,-0.048455,9.854242,-0.108275,9.854957,90.629517,90.281731
0.5764685,-0.053240,9.818350,-0.146560,9.819588,90.855186,90.310684
0.5789218,-0.065204,9.830314,-0.127418,9.831356,90.742592,90.380035
0.5813748,-0.069990,9.835099,-0.141775,9.836370,90.825851,90.407730
0.5838276,-0.079561,9.830314,-0.139382,9.831624,90.812302,90.463715
0.5862806,-0.058026,9.832706,-0.125025,9.833673,90.728477,90.338120
0.5887337,-0.041276,9.851849,-0.115454,9.852612,90.671410,90.240051
0.5911870,-0.060419,9.830314,-0.103490,9.831044,90.603149,90.352142
0.5936393,-0.048455,9.868599,-0.132203,9.869603,90.767502,90.281319
0.5960921,-0.014955,9.835099,-0.120239,9.835846,90.700439,90.087120
0.5985451,-0.046062,9.830314,-0.113061,9.831072,90.658936,90.268471
0.6009985,-0.065204,9.875777,-0.172881,9.877505,91.002876,90.378288
0.6034511,-0.067597,9.844670,-0.132203,9.845790,90.769356,90.393410
0.6059037,-0.053240,9.861421,-0.141775,9.862584,90.823654,90.309326
0.6083567,-0.026919,9.870992,-0.148953,9.872152,90.864525,90.156250
0.6108093,-0.074776,9.835099,-0.151346,9.836548,90.881592,90.435608
0.6132623,-0.029312,9.823135,-0.175274,9.824743,91.022217,90.170967
0.6157153,-0.036491,9.873384,-0.144168,9.874504,90.836548,90.211754
0.6181680,-0.022134,9.854242,-0.122632,9.855030,90.712982,90.128693
0.6206212,-0.065204,9.897313,-0.113061,9.898173,90.654472,90.377464
0.6230746,-0.055633,9.868599,-0.089133,9.869158,90.517471,90.322998
0.6255274,-0.053240,9.842278,-0.129811,9.843278,90.755623,90.309929
0.6279799,-0.055633,9.868599,-0.115454,9.869431,90.670265,90.322998
0.6304321,-0.079561,9.859028,-0.081954,9.859690,90.476250,90.462364
0.6328854,-0.072383,9.847063,-0.105882,9.847898,90.616043,90.421158
0.6353384,-0.029312,9.844670,-0.048455,9.844833,90.282005,90.170593
0.6377918,-0.065204,9.866206,-0.086740,9.866803,90.503700,90.378654
0.6402444,-0.034098,9.866206,-0.108275,9.866859,90.628754,90.198013
0.6426970,-0.007777,9.859028,-0.098704,9.859525,90.573601,90.045197
0.6451498,-0.115454,9.837492,-0.089133,9.838573,90.519081,90.672394
0.6476029,-0.043669,9.868599,-0.074776,9.868979,90.434128,90.253532
0.6500557,-0.069990,9.827921,-0.108275,9.828767,90.631195,90.408028
0.6525087,-0.034098,9.894919,-0.132203,9.895862,90.765465,90.197441
0.6549615,-0.038883,9.875777,-0.089133,9.876256,90.517097,90.225586
0.6574149,-0.046062,9.854242,-0.098704,9.854844,90.573868,90.267815
0.6598682,-0.017348,9.863813,-0.110668,9.864450,90.642807,90.100769
0.6623214,-0.038883,9.870992,-0.074776,9.871351,90.434021,90.225693
0.6647744,-0.062812,9.859028,-0.072383,9.859494,90.420639,90.365028
0.6672273,-0.060419,9.880563,-0.091525,9.881171,90.530716,90.350357
0.6696804,-0.036491,9.854242,-0.046062,9.854418,90.267815,90.212166
0.6721334,-0.050847,9.861421,-0.036491,9.861620,90.212013,90.295425
0.6745868,-0.050847,9.849456,-0.101097,9.850106,90.588066,90.295784
0.6770393,-0.065204,9.868599,-0.122632,9.869576,90.711937,90.378563
0.6794919,-0.091525,9.863813,-0.120239,9.864971,90.698364,90.531624
0.6819444,-0.024526,9.880563,-0.105882,9.881161,90.613968,90.142227
0.6843974,-0.038883,9.861421,-0.113061,9.862145,90.656860,90.225914
0.6868501,-0.072383,9.875777,-0.103490,9.876585,90.600372,90.419930
0.6893032,-0.077169,9.885348,-0.125025,9.886440,90.724586,90.447266
0.6917558,-0.046062,9.851849,-0.122632,9.852719,90.713150,90.267883
0.6942084,-0.058026,9.856635,-0.151346,9.857967,90.879677,90.337296
0.6966614,-0.065204,9.856635,-0.139382,9.857836,90.810143,90.379021
0.6991146,-0.036491,9.899706,-0.144168,9.900823,90.834320,90.211189
0.7015671,-0.053240,9.885348,-0.117847,9.886194,90.682999,90.308578
0.7040201,-0.031705,9.875777,-0.151346,9.876987,90.877983,90.183937
0.7064732,-0.065204,9.866206,-0.156132,9.867657,90.906601,90.378654
